sku,nombre,precio,costo,categoria,mpn,proveedor,ubicacion,ancho_cm,alto_cm,proveedor_contacto,proveedor_telefono,id_articulo_original,calcula_id_original,numero_control_excel,precio_compra_con_iva,iva_compra,porcentaje_a_ganar,utilidad_excel,es_compra_interna,openpay_comision,openpay_iva,comision_tienda_nube,total_comisiones,descuento_pago_transferencia_pct,iva_venta_desglosar,precio_venta_sin_iva,ganancia_real_excel
CJPLB1,JOYERO # 2 PLANO (4x7),330,198.28,ARTESANIAS,CJPLB1,SERVIN,TARANDACUAU GTO,,,VERONICA,428 107 2674,JOYERO #,,0219,230,31.72,35,80.5,,9.17,1.47,9.02,19.66,2.98,45.54,285,86
CJBOC1,JOYERO # 3 BOLA (7.5x9),394,237.07,ARTESANIAS,CJBOC1,SERVIN,TARANDACUAU GTO,,,VERONICA,429 107 2674,JOYERO #,,0220,275,37.93,35,96.25,,10.48,1.68,10.27,22.42,2.85,54.3,339,102
CJHPC1,JOYERO # 3 HEXAGONAL CON PERILLA (7x9),394,237.07,ARTESANIAS,CJHPC1,SERVIN,TARANDACUAU GTO,,,VERONICA,430 107 2674,JOYERO #,,0221,275,37.93,35,96.25,,10.48,1.68,10.27,22.42,2.85,54.3,339,102
CJPLC1,JOYERO # 3 PLANO (6.5x8.5),394,237.07,ARTESANIAS,CJPLC1,SERVIN,TARANDACUAU GTO,,,VERONICA,431 107 2674,JOYERO #,,0222,275,37.93,35,96.25,,10.48,1.68,10.27,22.42,2.85,54.3,339,102
CJBOD1,JOYERO # 4 BOLA (8.5x10),471,284.48,ARTESANIAS,CJBOD1,SERVIN,TARANDACUAU GTO,,,VERONICA,432 107 2674,JOYERO #,,0223,330,45.52,35,115.5,,12.07,1.93,11.79,25.79,2.74,65.01,406,122
CJHPD1,JOYERO # 4 HEXAGONAL CON PERILLA (5x10),471,284.48,ARTESANIAS,CJHPD1,SERVIN,TARANDACUAU GTO,,,VERONICA,433 107 2674,JOYERO #,,0224,330,45.52,35,115.5,,12.07,1.93,11.79,25.79,2.74,65.01,406,122
CJPLD1,JOYERO # 4 PLANO (7x10.5),471,284.48,ARTESANIAS,CJPLD1,SERVIN,TARANDACUAU GTO,,,VERONICA,434 107 2674,JOYERO #,,0225,330,45.52,35,115.5,,12.07,1.93,11.79,25.79,2.74,65.01,406,122
CJMBA1,JOYERO MICRO BOLA (2x2.5),182,107.76,ARTESANIAS,CJMBA1,SERVIN,TARANDACUAU GTO,,,VERONICA,435 107 2674,JOYERO MI,,0226,125,17.24,35,43.75,,6.13,0.98,6.12,13.22,3.63,25.1,157,49
CJMPA1,JOYERO MICRO PLANO (2x25),182,107.76,ARTESANIAS,CJMPA1,SERVIN,TARANDACUAU GTO,,,VERONICA,436 107 2674,JOYERO MI,,0227,125,17.24,35,43.75,,6.13,0.98,6.12,13.22,3.63,25.1,157,49
CJMBB1,JOYERO MINI BOLA (3.5x4),238,142.24,ARTESANIAS,CJMBB1,SERVIN,TARANDACUAU GTO,,,VERONICA,437 107 2674,JOYERO MI,,0228,165,22.76,35,57.75,,7.29,1.17,7.22,15.67,3.29,32.89,206,63
CJMPB1,JOYERO MINI PLANO (3x4),238,142.24,ARTESANIAS,CJMPB1,SERVIN,TARANDACUAU GTO,,,VERONICA,438 107 2674,JOYERO MI,,0229,165,22.76,35,57.75,,7.29,1.17,7.22,15.67,3.29,32.89,206,63
CJAGB1,JUEGO DE AGUA (7 PIEZAS),5023,3064.66,ARTESANIAS,CJAGB1,SERVIN,TARANDACUAU GTO,,,VERONICA,439 107 2674,JUEGO DE,,0230,3555,490.34,35,1244.25,,105.6,16.9,101.03,223.53,2.23,692.8,4330,1265
CJADB1,JUEGO DE AGUA DONA (7 PIEZAS),6914,4219.83,ARTESANIAS,CJADB1,SERVIN,TARANDACUAU GTO,,,VERONICA,440 107 2674,JUEGO DE,,0231,4895,675.17,35,1713.25,,144.46,23.11,138.12,305.68,2.21,953.65,5960,1740
CJCAB1,JUEGO DE CAFE AMERICANO (15 PIEZAS),8092,4939.66,ARTESANIAS,CJCAB1,SERVIN,TARANDACUAU GTO,,,VERONICA,441 107 2674,JUEGO DE,,0232,5730,790.34,35,2005.5,,168.67,26.99,161.22,356.88,2.21,1116.19,6976,2037
CJCEB1,JUEGO DE CAFE EXPRESS (15 PIEZAS),5284,3224.14,ARTESANIAS,CJCEB1,SERVIN,TARANDACUAU GTO,,,VERONICA,442 107 2674,JUEGO DE,,0233,3740,515.86,35,1309,,110.96,17.75,106.15,234.87,2.22,728.81,4555,1331
CJESA1,JUEGO DE ESCRITORIO (3 PIEZAS),1064,646.55,ARTESANIAS,CJESA1,SERVIN,TARANDACUAU GTO,,,VERONICA,443 107 2674,JUEGO DE,,0234,750,103.45,35,262.5,,24.25,3.88,23.41,51.54,2.42,146.76,917,271
CJTCB1,JUEGO DE TE CHICO (5 PIEZAS),2377,1448.28,ARTESANIAS,CJTCB1,SERVIN,TARANDACUAU GTO,,,VERONICA,444 107 2674,JUEGO DE,,0235,1680,231.72,35,588,,51.22,8.2,49.15,108.56,2.28,327.8,2049,600
CJTGB1,JUEGO DE TE GRANDE (7 PIEZAS),4430,2702.59,ARTESANIAS,CJTGB1,SERVIN,TARANDACUAU GTO,,,VERONICA,445 107 2674,JUEGO DE,,0236,3135,432.41,35,1097.25,,93.42,14.95,89.41,197.77,2.23,611.04,3819,1116
CJSCA1,JUEGO SAL/PIMIENTA CUADRADO (2 PIEZAS),542,327.59,ARTESANIAS,CJSCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,446 107 2674,JUEGO SAL,,0237,380,52.41,35,133,,13.52,2.16,13.17,28.86,2.66,74.74,467,140
CJTEA1,JUEGO TEQUILERO (4 PIEZAS),1120,681.03,ARTESANIAS,CJTEA1,SERVIN,TARANDACUAU GTO,,,VERONICA,447 107 2674,JUEGO TEQ,,0238,790,108.97,35,276.5,,25.41,4.07,24.52,54,2.41,154.55,966,285
CLAMC1,LAMPARA # 6 (25),1459,887.93,ARTESANIAS,CLAMC1,SERVIN,TARANDACUAU GTO,,,VERONICA,448 107 2674,LAMPARA #,,0239,1030,142.07,35,360.5,,32.37,5.18,31.16,68.71,2.35,201.27,1258,370
CLAMB1,LAMPARA # 7 (28),2172,1323.28,ARTESANIAS,CLAMB1,SERVIN,TARANDACUAU GTO,,,VERONICA,449 107 2674,LAMPARA #,,0240,1535,211.72,35,537.25,,47.02,7.52,45.14,99.67,2.29,299.58,1872,549
CLAMD1,LAMPARA # 8 (33.5),3259,1987.07,ARTESANIAS,CLAMD1,SERVIN,TARANDACUAU GTO,,,VERONICA,450 107 2674,LAMPARA #,,0241,2305,317.93,35,806.75,,69.35,11.1,66.44,146.88,2.25,449.47,2809,822
CLBMA1,LAMPARA BOLA MEDIANA (22x12.5),1509,918.1,ARTESANIAS,CLBMA1,SERVIN,TARANDACUAU GTO,,,VERONICA,451 107 2674,LAMPARA B,,0242,1065,146.9,35,372.75,,33.39,5.34,32.13,70.86,2.35,208.08,1301,382
CLCCA1,LAMPARA CILINDRICA (58x30),3315,2021.55,ARTESANIAS,CLCCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,452 107 2674,LAMPARA C,,0243,2345,323.45,35,820.75,,70.51,11.28,67.55,149.34,2.25,457.25,2858,836
CLBCB1,LICORERA BOLA CHICA (22.5x11),1064,646.55,ARTESANIAS,CLBCB1,SERVIN,TARANDACUAU GTO,,,VERONICA,453 107 2674,LICORERA,,0244,750,103.45,35,262.5,,24.25,3.88,23.41,51.54,2.42,146.76,917,271
CLBGB1,LICORERA BOLA GRANDE (25x12.5),1953,1189.66,ARTESANIAS,CLBGB1,SERVIN,TARANDACUAU GTO,,,VERONICA,454 107 2674,LICORERA,,0245,1380,190.34,35,483,,42.52,6.8,40.85,90.17,2.31,269.4,1684,494
CLCUA1,LICORERA CUADRADA (18x15),1953,1189.66,ARTESANIAS,CLCUA1,SERVIN,TARANDACUAU GTO,,,VERONICA,455 107 2674,LICORERA,,0246,1380,190.34,35,483,,42.52,6.8,40.85,90.17,2.31,269.4,1684,494
CLDCA1,LICORERA DONA CERRADA CHICA (17x15),1149,698.28,ARTESANIAS,CLDCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,456 107 2674,LICORERA,,0247,810,111.72,35,283.5,,25.99,4.16,25.07,55.22,2.4,158.44,990,292
CLDCB1,LICORERA DONA CERRADA GRANDE (22x6x20),2024,1232.76,ARTESANIAS,CLDCB1,SERVIN,TARANDACUAU GTO,,,VERONICA,457 107 2674,LICORERA,,0248,1430,197.24,35,500.5,,43.97,7.04,42.23,93.24,2.3,279.14,1745,512
CLDCC1,LICORERA DONA CHICA (9x8.5),436,262.93,ARTESANIAS,CLDCC1,SERVIN,TARANDACUAU GTO,,,VERONICA,423 107 2674,LICORERA,,0249,305,42.07,35,106.75,,11.35,1.82,11.1,24.26,2.78,60.14,376,113
CLDMA1,LICORERA DONA MEDIANA (14.5x14.5),1403,853.45,ARTESANIAS,CLDMA1,SERVIN,TARANDACUAU GTO,,,VERONICA,424 107 2674,LICORERA,,0250,990,136.55,35,346.5,,31.21,4.99,30.05,66.26,2.36,193.48,1209,356
CLDGA1,LICORERA DONA GRANDE (22x22),2242,1366.38,ARTESANIAS,CLDGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,425 107 2674,LICORERA,,0251,1585,218.62,35,554.75,,48.47,7.75,46.52,102.74,2.29,309.31,1933,567
CLDMB1,LICORERA DONA MINI (6x6),309,185.34,ARTESANIAS,CLDMB1,SERVIN,TARANDACUAU GTO,,,VERONICA,426 107 2674,LICORERA,,0252,215,29.66,35,75.25,,8.74,1.4,8.61,18.74,3.03,42.62,266,81
CLLCA1,LICORERA LUNA CHICA (16x6x16.5),1149,698.28,ARTESANIAS,CLLCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,427 107 2674,LICORERA,,0253,810,111.72,35,283.5,,25.99,4.16,25.07,55.22,2.4,158.44,990,292
CLLGA1,LICORERA LUNA GRANDE (20x8x21),1904,1159.48,ARTESANIAS,CLLGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,428 107 2674,LICORERA,,0254,1345,185.52,35,470.75,,41.51,6.64,39.88,88.02,2.31,262.59,1641,482
CLMMA1,LICORERA MINI 50 ML. (7.5x3x7),309,185.34,ARTESANIAS,CLMMA1,SERVIN,TARANDACUAU GTO,,,VERONICA,429 107 2674,LICORERA,,0255,215,29.66,35,75.25,,8.74,1.4,8.61,18.74,3.03,42.62,266,81
CLACA1,LICORERA REDONDA CHICA CON ASAS (17.5x16.5),1756,1068.97,ARTESANIAS,CLACA1,SERVIN,TARANDACUAU GTO,,,VERONICA,430 107 2674,LICORERA,,0256,1240,171.03,35,434,,38.46,6.15,36.97,81.59,2.32,242.15,1513,444
CLTCA1,LICORERA TRIANGULAR CHICA (19.5x19.5),1953,1189.66,ARTESANIAS,CLTCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,431 107 2674,LICORERA,,0257,1380,190.34,35,483,,42.52,6.8,40.85,90.17,2.31,269.4,1684,494
CMACB1,MACETA # 10 (25x27),4726,2883.62,ARTESANIAS,CMACB1,SERVIN,TARANDACUAU GTO,,,VERONICA,432 107 2674,MACETA #,,0258,3345,461.38,35,1170.75,,99.51,15.92,95.22,210.65,2.23,651.92,4074,1191
CMACE1,MACETA # 4 (10x8.5),471,284.48,ARTESANIAS,CMACE1,SERVIN,TARANDACUAU GTO,,,VERONICA,433 107 2674,MACETA #,,0259,330,45.52,35,115.5,,12.07,1.93,11.79,25.79,2.74,65.01,406,122
CMACF1,MACETA # 6 (15.5x16.5),1593,969.83,ARTESANIAS,CMACF1,SERVIN,TARANDACUAU GTO,,,VERONICA,434 107 2674,MACETA #,,0260,1125,155.17,35,393.75,,35.13,5.62,33.79,74.53,2.34,219.76,1374,404
CMACG1,MACETA # 7 (18.5x19.5),2024,1232.76,ARTESANIAS,CMACG1,SERVIN,TARANDACUAU GTO,,,VERONICA,435 107 2674,MACETA #,,0261,1430,197.24,35,500.5,,43.97,7.04,42.23,93.24,2.3,279.14,1745,512
CMCCA1,MACETA CUADRADA CHICA (12x7.5),507,306.03,ARTESANIAS,CMCCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,436 107 2674,MACETA CU,,0262,355,48.97,35,124.25,,12.8,2.05,12.48,27.32,2.7,69.87,437,131
CMCGA1,MACETA CUADRADA GRANDE (21x14.5),2101,1280.17,ARTESANIAS,CMCGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,437 107 2674,MACETA CU,,0263,1485,204.83,35,519.75,,45.57,7.29,43.75,96.61,2.3,289.84,1812,531
CMCMA1,MACETA CUADRADA MEDIANA (11.5x14.5),1092,663.79,ARTESANIAS,CMCMA1,SERVIN,TARANDACUAU GTO,,,VERONICA,438 107 2674,MACETA CU,,0264,770,106.21,35,269.5,,24.83,3.97,23.97,52.77,2.42,150.66,942,278
CMVIA1,MACETA VIOLETERA (11x12.5),916,556.03,ARTESANIAS,CMVIA1,SERVIN,TARANDACUAU GTO,,,VERONICA,439 107 2674,MACETA VI,,0265,645,88.97,35,225.75,,21.21,3.39,20.51,45.1,2.46,126.32,790,233
CMTQA1,MANTEQUILLERA RECTANGULAR (17.5x7x6),507,306.03,ARTESANIAS,CMTQA1,SERVIN,TARANDACUAU GTO,,,VERONICA,440 107 2674,MANTEQUIL,,0266,355,48.97,35,124.25,,12.8,2.05,12.48,27.32,2.7,69.87,437,131
CMIEA1,MIELERA (13.5x9.5),739,448.28,ARTESANIAS,CMIEA1,SERVIN,TARANDACUAU GTO,,,VERONICA,441 107 2674,MIELERA (,,0267,520,71.72,35,182,,17.58,2.81,17.05,37.44,2.53,101.99,637,189
CMSGA1,MOLCAJETE SANTA MARIA GRANDE (11.5x18.5),1297,788.79,ARTESANIAS,CMSGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,442 107 2674,MOLCAJETE,,0268,915,126.21,35,320.25,,29.04,4.65,27.98,61.66,2.38,178.88,1118,329
CMSCA1,MOLCAJETE SANTA MARIA CHICO (6x11),528,318.97,ARTESANIAS,CMSCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,443 107 2674,MOLCAJETE,,0269,370,51.03,35,129.5,,13.23,2.12,12.9,28.24,2.68,72.79,455,136
CMSMA1,MOLCAJETE SANTA MARIA MEDIANO (10.5x16.5),1043,633.62,ARTESANIAS,CMSMA1,SERVIN,TARANDACUAU GTO,,,VERONICA,444 107 2674,MOLCAJETE,,0270,735,101.38,35,257.25,,23.82,3.81,23,50.62,2.43,143.84,899,265
CPBOA1,PAYASO BOLITAS (30x9),1346,818.97,ARTESANIAS,CPBOA1,SERVIN,TARANDACUAU GTO,,,VERONICA,445 107 2674,PAYASO BO,,0271,950,131.03,35,332.5,,30.05,4.81,28.95,63.81,2.37,185.7,1161,342
CPBLA1,PAYASO BOLITAS LARGO (50x8),1565,952.59,ARTESANIAS,CPBLA1,SERVIN,TARANDACUAU GTO,,,VERONICA,446 107 2674,PAYASO BO,,0272,1105,152.41,35,386.75,,34.55,5.53,33.24,73.31,2.34,215.87,1349,397
CPGOA1,PAYASO GORDO (17x17),1297,788.79,ARTESANIAS,CPGOA1,SERVIN,TARANDACUAU GTO,,,VERONICA,447 107 2674,PAYASO GO,,0273,915,126.21,35,320.25,,29.04,4.65,27.98,61.66,2.38,178.88,1118,329
CPKIA1,PAYASO KIM (25.5x8),1297,788.79,ARTESANIAS,CPKIA1,SERVIN,TARANDACUAU GTO,,,VERONICA,448 107 2674,PAYASO KI,,0274,915,126.21,35,320.25,,29.04,4.65,27.98,61.66,2.38,178.88,1118,329
CPSHA1,PAYASO SHORT (23.5x8),1297,788.79,ARTESANIAS,CPSHA1,SERVIN,TARANDACUAU GTO,,,VERONICA,449 107 2674,PAYASO SH,,0275,915,126.21,35,320.25,,29.04,4.65,27.98,61.66,2.38,178.88,1118,329
CPCHA1,PIMIENTERO CHICO (3.5x3),217,129.31,ARTESANIAS,CPCHA1,SERVIN,TARANDACUAU GTO,,,VERONICA,450 107 2674,PIMIENTER,,0276,150,20.69,35,52.5,,6.85,1.1,6.81,14.75,3.4,29.97,187,58
CPCUA1,PIMIENTERO CUADRADO (8x3),274,163.79,ARTESANIAS,CPCUA1,SERVIN,TARANDACUAU GTO,,,VERONICA,451 107 2674,PIMIENTER,,0277,190,26.21,35,66.5,,8.01,1.28,7.92,17.21,3.14,37.75,236,72
CPGRA1,PIMIENTERO GRANDE (6.5x4.5),238,142.24,ARTESANIAS,CPGRA1,SERVIN,TARANDACUAU GTO,,,VERONICA,452 107 2674,PIMIENTER,,0278,165,22.76,35,57.75,,7.29,1.17,7.22,15.67,3.29,32.89,206,63
CPBAA1,PLATO BASE (28),1417,862.07,ARTESANIAS,CPBAA1,SERVIN,TARANDACUAU GTO,,,VERONICA,453 107 2674,PLATO BAS,,0279,1000,137.93,35,350,,31.5,5.04,30.33,66.87,2.36,195.43,1221,359
CPSOA1,PLATO CONSOME (6x12.5),648,392.24,ARTESANIAS,CPSOA1,SERVIN,TARANDACUAU GTO,,,VERONICA,454 107 2674,PLATO CON,,0280,455,62.76,35,159.25,,15.7,2.51,15.25,33.46,2.58,89.34,558,166
CPPAA1,PLATO PAN (20),916,556.03,ARTESANIAS,CPPAA1,SERVIN,TARANDACUAU GTO,,,VERONICA,455 107 2674,PLATO PAN,,0281,645,88.97,35,225.75,,21.21,3.39,20.51,45.1,2.46,126.32,790,233
CPPCA1,PLATO PARA COLGAR (10),330,198.28,ARTESANIAS,CPPCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,456 107 2674,PLATO PAR,,0282,230,31.72,35,80.5,,9.17,1.47,9.02,19.66,2.98,45.54,285,86
CPPCC1,PLATO PARA COLGAR (15),528,318.97,ARTESANIAS,CPPCC1,SERVIN,TARANDACUAU GTO,,,VERONICA,457 107 2674,PLATO PARA,,0283,370,51.03,35,129.5,,13.23,2.12,12.9,28.24,2.68,72.79,455,136
CPPCD1,PLATO PARA COLGAR (17),775,469.83,ARTESANIAS,CPPCD1,SERVIN,TARANDACUAU GTO,,,VERONICA,423 107 2674,PLATO PAR,,0284,545,75.17,35,190.75,,18.31,2.93,17.74,38.97,2.52,106.86,668,198
CPPCE1,PLATO PARA COLGAR (20),1120,681.03,ARTESANIAS,CPPCE1,SERVIN,TARANDACUAU GTO,,,VERONICA,424 107 2674,PLATO PAR,,0285,790,108.97,35,276.5,,25.41,4.07,24.52,54,2.41,154.55,966,285
CPPCF1,PLATO PARA COLGAR (24),1325,806.03,ARTESANIAS,CPPCF1,SERVIN,TARANDACUAU GTO,,,VERONICA,425 107 2674,PLATO PAR,,0286,935,128.97,35,327.25,,29.62,4.74,28.53,62.89,2.37,182.78,1142,336
CPPCG1,PLATO PARA COLGAR (28),1685,1025.86,ARTESANIAS,CPPCG1,SERVIN,TARANDACUAU GTO,,,VERONICA,426 107 2674,PLATO PAR,,0287,1190,164.14,35,416.5,,37.01,5.92,35.59,78.52,2.33,232.42,1453,427
CPPAB1,PLATO PASTEL (17),669,405.17,ARTESANIAS,CPPAB1,SERVIN,TARANDACUAU GTO,,,VERONICA,427 107 2674,PLATO PAS,,0288,470,64.83,35,164.5,,16.13,2.58,15.66,34.38,2.57,92.26,577,171
CPPOA1,PLATO POSTRE (14),450,271.55,ARTESANIAS,CPPOA1,SERVIN,TARANDACUAU GTO,,,VERONICA,428 107 2674,PLATO POS,,0289,315,43.45,35,110.25,,11.64,1.86,11.37,24.87,2.76,62.09,388,116
CPSOB1,PLATO SOPA (5.5x17),1205,732.76,ARTESANIAS,CPSOB1,SERVIN,TARANDACUAU GTO,,,VERONICA,429 107 2674,PLATO SOP,,0290,850,117.24,35,297.5,,27.15,4.34,26.18,57.67,2.39,166.23,1039,306
CPTRA1,PLATO TRINCHE (24),1120,681.03,ARTESANIAS,CPTRA1,SERVIN,TARANDACUAU GTO,,,VERONICA,430 107 2674,PLATO TRI,,0291,790,108.97,35,276.5,,25.41,4.07,24.52,54,2.41,154.55,966,285
CPOCA1,PLATON OVAL CHICO (24x32),2024,1232.76,ARTESANIAS,CPOCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,431 107 2674,PLATON OV,,0292,1430,197.24,35,500.5,,43.97,7.04,42.23,93.24,2.3,279.14,1745,512
CPOGA1,PLATON OVAL GRANDE HONDO (28x40),2440,1487.07,ARTESANIAS,CPOGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,432 107 2674,PLATON OV,,0293,1725,237.93,35,603.75,,52.53,8.4,50.39,111.32,2.28,336.56,2104,616
CPCHB1,POLKA CHICA (21x12),1812,1103.45,ARTESANIAS,CPCHB1,SERVIN,TARANDACUAU GTO,,,VERONICA,433 107 2674,POLKA CHI,,0294,1280,176.55,35,448,,39.62,6.34,38.08,84.04,2.32,249.94,1562,459
CPCGA1,PORTA CUCHARA GOTA (14x9.3),471,284.48,ARTESANIAS,CPCGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,434 107 2674,PORTA CUC,,0295,330,45.52,35,115.5,,12.07,1.93,11.79,25.79,2.74,65.01,406,122
CPCGB1,PORTA CUCHARA GRANDE (25x9),676,409.48,ARTESANIAS,CPCGB1,SERVIN,TARANDACUAU GTO,,,VERONICA,435 107 2674,PORTA CUC,,0296,475,65.52,35,166.25,,16.28,2.6,15.8,34.68,2.57,93.23,583,173
CPCAA1,PORTACANDEREL (6.5x11.5x8),450,271.55,ARTESANIAS,CPCAA1,SERVIN,TARANDACUAU GTO,,,VERONICA,436 107 2674,PORTACAND,,0297,315,43.45,35,110.25,,11.64,1.86,11.37,24.87,2.76,62.09,388,116
CPORA1,PORTACLIPS (5x6.5),309,185.34,ARTESANIAS,CPORA1,SERVIN,TARANDACUAU GTO,,,VERONICA,437 107 2674,PORTACLIP,,0298,215,29.66,35,75.25,,8.74,1.4,8.61,18.74,3.03,42.62,266,81
CPORB1,PORTALAPICES (10.5x6.5),436,262.93,ARTESANIAS,CPORB1,SERVIN,TARANDACUAU GTO,,,VERONICA,438 107 2674,PORTALAPI,,0299,305,42.07,35,106.75,,11.35,1.82,11.1,24.26,2.78,60.14,376,113
CPCCA1,PORTAVELA CALADO CHICO (7.5x8.5),528,318.97,ARTESANIAS,CPCCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,439 107 2674,PORTAVELA,,0300,370,51.03,35,129.5,,13.23,2.12,12.9,28.24,2.68,72.79,455,136
CPCMA1,PORTAVELA CALADO MEDIANO (10.5x10.5),761,461.21,ARTESANIAS,CPCMA1,SERVIN,TARANDACUAU GTO,,,VERONICA,440 107 2674,PORTAVELA,,0301,535,73.79,35,187.25,,18.02,2.88,17.46,38.36,2.52,104.91,656,194
CQUEA1,QUESERA (9.5x21),1650,1004.31,ARTESANIAS,CQUEA1,SERVIN,TARANDACUAU GTO,,,VERONICA,441 107 2674,QUESERA (,,0302,1165,160.69,35,407.75,,36.29,5.81,34.9,76.99,2.33,227.55,1422,418
CSPBA1,SALERO / PIMIENTERO BOLA (9x8.5),598,362.07,ARTESANIAS,CSPBA1,SERVIN,TARANDACUAU GTO,,,VERONICA,442 107 2674,SALERO /,,0303,420,57.93,35,147,,14.68,2.35,14.28,31.31,2.62,82.53,516,154
CSCHA1,SALERO CHICO (3.5x3),217,129.31,ARTESANIAS,CSCHA1,SERVIN,TARANDACUAU GTO,,,VERONICA,443 107 2674,SALERO CH,,0304,150,20.69,35,52.5,,6.85,1.1,6.81,14.75,3.4,29.97,187,58
CSCUA1,SALERO CUADRADO (8x3),274,163.79,ARTESANIAS,CSCUA1,SERVIN,TARANDACUAU GTO,,,VERONICA,444 107 2674,SALERO CU,,0305,190,26.21,35,66.5,,8.01,1.28,7.92,17.21,3.14,37.75,236,72
CSGRA1,SALERO GRANDE (6.5x4.5),238,142.24,ARTESANIAS,CSGRA1,SERVIN,TARANDACUAU GTO,,,VERONICA,445 107 2674,SALERO GR,,0306,165,22.76,35,57.75,,7.29,1.17,7.22,15.67,3.29,32.89,206,63
CSCHB1,SALSERA CHICA (7.5x9.5),528,318.97,ARTESANIAS,CSCHB1,SERVIN,TARANDACUAU GTO,,,VERONICA,446 107 2674,SALSERA C,,0307,370,51.03,35,129.5,,13.23,2.12,12.9,28.24,2.68,72.79,455,136
CSRIA1,SERVILLETERO REDONDO INDIVIDUAL (4.5x3.5),217,129.31,ARTESANIAS,CSRIA1,SERVIN,TARANDACUAU GTO,,,VERONICA,447 107 2674,SERVILLET,,0308,150,20.69,35,52.5,,6.85,1.1,6.81,14.75,3.4,29.97,187,58
CSAVA1,SET ACEITE Y VINAGRE (3 PIEZAS),1826,1112.07,ARTESANIAS,CSAVA1,SERVIN,TARANDACUAU GTO,,,VERONICA,448 107 2674,SET ACEIT,,0309,1290,177.93,35,451.5,,39.91,6.39,38.36,84.65,2.32,251.88,1574,462
CCAAA1,SET CREMERA Y AZUCARERA AMERICANO (3 PIEZAS),1424,866.38,ARTESANIAS,CCAAA1,SERVIN,TARANDACUAU GTO,,,VERONICA,449 107 2674,SET CREME,,0310,1005,138.62,35,351.75,,31.65,5.06,30.47,67.18,2.36,196.4,1228,361
CCAEA1,SET CREMERA Y AZUCARERA EXRESS (3 PIEZAS),1276,775.86,ARTESANIAS,CCAEA1,SERVIN,TARANDACUAU GTO,,,VERONICA,450 107 2674,SET CREME,,0311,900,124.14,35,315,,28.6,4.58,27.56,60.74,2.38,175.96,1100,324
CTARA1,TARJETERO (6.5x11),330,198.28,ARTESANIAS,CTARA1,SERVIN,TARANDACUAU GTO,,,VERONICA,451 107 2674,TARJETERO,,0312,230,31.72,35,80.5,,9.17,1.47,9.02,19.66,2.98,45.54,285,86
CTALA1,TARRO ALTO (11.5x8.5),450,271.55,ARTESANIAS,CTALA1,SERVIN,TARANDACUAU GTO,,,VERONICA,452 107 2674,TARRO ALT,,0313,315,43.45,35,110.25,,11.64,1.86,11.37,24.87,2.76,62.09,388,116
CTASA1,TARRO ASA (9.5x8),450,271.55,ARTESANIAS,CTASA1,SERVIN,TARANDACUAU GTO,,,VERONICA,453 107 2674,TARRO ASA,,0314,315,43.45,35,110.25,,11.64,1.86,11.37,24.87,2.76,62.09,388,116
CTCGA1,TARRO CAFETERO GRANDE (10x8),450,271.55,ARTESANIAS,CTCGA1,SERVIN,TARANDACUAU GTO,,,VERONICA,454 107 2674,TARRO CAF,,0315,315,43.45,35,110.25,,11.64,1.86,11.37,24.87,2.76,62.09,388,116
CTCAA1,TARRO CERVECERO ANCHO (13.5x9.5),718,435.34,ARTESANIAS,CTCAA1,SERVIN,TARANDACUAU GTO,,,VERONICA,455 107 2674,TARRO CER,,0316,505,69.66,35,176.75,,17.15,2.74,16.63,36.52,2.54,99.07,619,184
CTCCA1,TARRO CERVECERO CHICO (13.5x8.5),542,327.59,ARTESANIAS,CTCCA1,SERVIN,TARANDACUAU GTO,,,VERONICA,456 107 2674,TARRO CER,,0317,380,52.41,35,133,,13.52,2.16,13.17,28.86,2.66,74.74,467,140
CTCHA1,TARRO CHICO (7.5x7.5),422,254.31,ARTESANIAS,CTCHA1,SERVIN,TARANDACUAU GTO,,,VERONICA,457 107 2674,TARRO CHI,,0318,295,40.69,35,103.25,,11.06,1.77,10.82,23.65,2.8,58.19,364,109
CTPIA1,TARRO PIRAMIDE (10.5x8),450,271.55,ARTESANIAS,CTPIA1,SERVIN,TARANDACUAU GTO,,,VERONICA,423 107 2674,TARRO PIR,,0319,315,43.45,35,110.25,,11.64,1.86,11.37,24.87,2.76,62.09,388,116
